Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,187.15,189.14,186.60,188.63,188.63,57337400
2024-01-03,188.40,189.97,186.90,187.43,187.43,62194100
2024-01-04,186.72,188.50,185.20,186.50,186.50,62718100
2024-01-05,187.10,190.20,186.50,189.90,189.90,54011200
2024-01-08,190.25,192.00,189.10,191.55,191.55,49874100
2024-01-09,192.00,193.20,190.50,191.80,191.80,51200100
2024-01-10,191.50,192.70,190.80,191.00,191.00,49822000
2024-01-11,191.80,194.10,191.50,193.75,193.75,52033400
2024-01-12,194.00,195.40,192.50,193.20,193.20,50022100
2024-01-16,193.10,194.50,192.00,192.80,192.80,48222100
2024-01-17,192.70,194.00,191.80,193.40,193.40,47810000
2024-01-18,193.90,195.20,193.00,194.10,194.10,46500100
2024-01-19,194.50,196.00,193.50,195.80,195.80,47000100
2024-01-22,196.00,197.40,194.90,196.50,196.50,49000200
2024-01-23,196.20,197.20,195.50,196.80,196.80,48033000
2024-01-24,197.00,198.00,195.90,196.10,196.10,50012000
2024-01-25,196.50,197.90,195.40,196.20,196.20,48200100
2024-01-26,196.10,197.00,195.20,195.50,195.50,47122000
2024-01-29,195.80,197.10,195.00,196.90,196.90,46022100
2024-01-30,196.70,198.20,196.10,197.80,197.80,47221000
2024-01-31,197.90,199.50,197.00,198.50,198.50,49877000
2024-02-01,198.40,200.00,197.50,199.70,199.70,52000300
2024-02-02,199.60,201.00,198.80,200.80,200.80,53011200
2024-02-05,201.00,202.50,199.90,201.40,201.40,51222000
2024-02-06,201.20,202.10,200.10,200.80,200.80,50011000
2024-02-07,200.70,202.40,200.00,201.90,201.90,50123000
2024-02-08,201.80,203.50,201.00,202.60,202.60,50544000
2024-02-09,202.70,204.20,202.00,203.50,203.50,52000200
2024-02-12,203.40,204.90,202.50,203.80,203.80,53000000
2024-02-13,203.90,205.30,203.00,204.70,204.70,54011000
2024-02-14,204.50,206.00,204.00,205.50,205.50,55000100
2024-02-15,205.70,207.10,204.80,206.80,206.80,56022100
2024-02-16,206.50,207.90,205.90,206.20,206.20,55200000
2024-02-20,206.10,207.50,205.40,206.70,206.70,54800000
2024-02-21,206.90,208.30,206.00,207.80,207.80,54550000
2024-02-22,207.60,209.20,206.90,208.50,208.50,55033000
2024-02-23,208.70,210.00,207.80,209.30,209.30,56012000
2024-02-26,209.50,210.90,208.50,210.10,210.10,57000000
2024-02-27,210.20,211.40,209.50,210.90,210.90,58033000
2024-02-28,211.00,212.50,210.30,211.70,211.70,59011000
2024-02-29,211.90,213.20,211.00,212.50,212.50,60044000
2024-03-01,212.60,214.00,211.50,213.40,213.40,60500000
2024-03-04,213.50,215.00,212.70,214.20,214.20,61011000
2024-03-05,214.40,215.80,213.60,215.10,215.10,61500000
2024-03-06,215.20,216.50,214.50,215.90,215.90,62033000
2024-03-07,215.80,217.30,215.00,216.80,216.80,62522000
2024-03-08,216.70,218.10,215.90,217.50,217.50,63044000
2024-03-11,217.40,218.90,216.70,218.20,218.20,63500000
2024-03-12,218.00,219.50,217.20,219.10,219.10,64012000
2024-03-13,219.30,220.70,218.50,219.80,219.80,64533000
